
Timestamp	Module	Priority Level	Issue Summary	Issue Description	Issue URL	Screen Shot or Documents	Reported By	GitHub Issue No 	#	Stage	Dev Feedback	Dev Complete	Developer Comments
9/12/2025 12:02:11	Reports	High	adjusted quantity value is wrong	The total batch quantity value is displayed as the adjusted quantity value.(cost and purchase value)	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/stock_adjustment_receive.xhtml	https://drive.google.com/open?id=1dz_5KDlKoLIzuOyPES7jpjLZ83wbKBxU	Piumini		569				
9/12/2025 12:24:51	Pharmacy	High	GRN return credit 	Can't return the GRN as Credit. There is no credit payment method in the GRN return page.	http://124.43.4.189:8010/rhLocal/faces/pharmacy/pharmacy_grn_return_form.xhtml	https://drive.google.com/open?id=14lhMN1d9gVaox8QmZrqNqA3pIua8G2Or	Piumini		570				
9/12/2025 12:33:32	Reports	High	Purchase returned value doesn't show in the cost of good sold report.	Purchase returned value doesn't show in the cost of good sold report.	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/cost_of_goods_sold.xhtml	https://drive.google.com/open?id=1Ac3o1Rcg1h_T5sOWDlvZ375luXu0gYv2 https://drive.google.com/openid=13xHu_nFG7yl1Xw2eA_xPBN3oreqS1Kja	Piumini		571				
9/12/2025 12:35:27	Reports	High	there is no cost value total in the purchase return report	there is no cost value total in the purchase return report	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/purchase_return.xhtml#	https://drive.google.com/open?id=1SAyU6lKhS3KMByRKi9KwGCop1qAUT08P	Piumini		572				
9/12/2025 12:48:45	Reports	High	There is no total of the Cost value and Purchase rate value in the OP sale report	There is no total of the Cost value and Purchase rate value in the OP sale report	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/opd_sale.xhtml	https://drive.google.com/open?id=1MG6QV6XUJUp5m2EyBBdJALfxI-ckw-aI	Piumini		573				
9/12/2025 13:10:45	Reports	High	the pack count is showing as Item unit quantity in the grn report.	the pack count is showing as Item unit quantity in the grn Credit report.	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/grn_credit.xhtml	https://drive.google.com/open?id=1tWGs6ZKjLi3pU8eqHCnO1sCTKpvwMXny	Piumini		574				
9/12/2025 13:18:54	Reports	High	the pack count is showing as Item unit quantity in the grn cash report.	the pack count is showing as Item unit quantity in the grn cash report.	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/grn_cash.xhtml	https://drive.google.com/open?id=1wp5rf1FNgdbn-Uq_c1E9KyJ8JqZErSnI  https://drive.google.com/open?id=1dojQFIcV3aL9Wt1n8dD4dUG58-nH_pcr	Piumini		575				
9/12/2025 13:30:45	Reports	High	"Sale For Cashier" Credit Bill Value is not showing in the sale credit report	"Sale For Cashier" Credit Bill Value is not showing in the sale credit report	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/opd_credit.xhtml	https://drive.google.com/open?id=1c9NpF_OOHauiY5YALbU-jO97Wyk9gA23	Piumini		576				
9/12/2025 13:59:56	Reports	High	there is no purchase rate and purchase value in the disbursement issue report	there is no purchase rate and purchase value in the disbursement issue report	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/transfer_issue.xhtml	https://drive.google.com/open?id=1zUXF8F208GmpPaKRC-1L0sKlf8_EvMFt	Piumini		577				
9/12/2025 14:05:01	Reports	Medium	Item Pack rate showing as unit sale rate and not total is calculated by pack rate	Item Pack rate showing as unit sale rate and not total is calculated by pack rate	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/transfer_receive.xhtml	https://drive.google.com/open?id=1nHPy3Z9swmoIZYhhl62bGlaWgYT8zkgE	Piumini		578				
9/12/2025 14:25:17	Reports	High	returned bill value is not showing	returned bill value is not showing	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/op_drug_return.xhtml	https://drive.google.com/open?id=1D5XNGdtL7z6653dckMCpyKMu7Z5kdcOZ, https://drive.google.com/open?id=1BQxcxNs_GQmBIJ-E48kXwxC66cqRh2S0	Piumini		579				
9/12/2025 14:31:05	Reports	High	Returned consumption bill value is not showing in the report.	Returned consumption bill value is not showing in the report.	http://124.43.4.189:8010/rhLocal/faces/reports/inventoryReports/stock_consumption.xhtml	https://drive.google.com/open?id=1CAwU_4lX_z_oT15P5ruRWqXD4sTBQqZs, https://drive.google.com/open?id=1qL1bpGsl__CdDzv3kK7H-6hn3SAjxl4o	Piumini		580				
9/16/2025 13:38:13	Lab	High	Refunded samples can be collected and sent.	Refunded samples can be collected and sent.	http://124.43.4.189:8010/rhLocal/faces/lab/generate_barcode_p.xhtml	https://drive.google.com/open?id=1i0KRCTIk67qy9yQnuWGLjqNzTvycsIDA , https://drive.google.com/open?id=1vLAGZbxz7nTkzNuj0PJLr13s1Bzlr6zt	Piumini		584				
9/18/2025 15:45:22	Pharmacy	High	Unable to view paid pharmacy bill. (for cashier paid bill)	Unable to view paid pharmacy bill. (for cashier paid bill)	http://124.43.16.16/rhstg/faces/pharmacy/pharmacy_search_pre_bill.xhtml	https://drive.google.com/open?id=1OFMSdL4C7ArYdicK7wQ2kC6LKRDFTsQw	Piumini						
9/19/2025 13:00:49	Pharmacy	High	Remove Cancel Button In Transfer Issue Bill View	Remove Cancel Button In Transfer Issue Bill View	https://youtu.be/sNWiQnEZbAc		Dushan						
9/19/2025 13:04:31	Pharmacy	High	Remove Cancel Button In Transfer Receive Bill View	Remove Cancel Button In Transfer Receive Bill View	https://youtu.be/QianvAKzJrc		Dushan						
