Field	Type	Null	Key	Default	Extra
ID	bigint	NO	PRI	NULL	
DTYPE	varchar(31)	YES		NULL	
AGENTREFNO	varchar(255)	YES		NULL	
APPOINTMENTAT	datetime	YES		NULL	
APPROVEAT	datetime	YES		NULL	
BALANCE	double	YES		NULL	
BILLCLASSTYPE	varchar(255)	YES		NULL	
BILLCLOSED	tinyint(1)	YES		0	
BILLDATE	date	YES		NULL	
BILLPAYMENTCOMPLETELYSETTLED	tinyint(1)	YES		0	
BILLTIME	datetime	YES		NULL	
BILLTOTAL	double	YES		NULL	
BILLTYPE	varchar(255)	YES		NULL	
BILLTYPEATOMIC	varchar(255)	YES		NULL	
BILLERFEE	double	YES		NULL	
BOOKINGID	varchar(255)	YES		NULL	
CANCELLED	tinyint(1)	YES		0	
CASHBALANCE	double	YES		NULL	
CASHPAID	double	YES		NULL	
CATID	varchar(255)	YES		NULL	
CHECKEAT	datetime	YES		NULL	
CHEQUEDATE	date	YES		NULL	
CHEQUEREFNO	varchar(255)	YES		NULL	
CLAIMABLETOTAL	double	YES		NULL	
COMMENTS	longtext	YES		NULL	
CREATEDAT	datetime	YES		NULL	
CREDITCARDREFNO	varchar(255)	YES		NULL	
CREDITDURATION	int	YES		NULL	
DEPTID	varchar(255)	YES		NULL	
DISCOUNT	double	YES		NULL	
DISCOUNTPERCENT	double	YES		NULL	
DUPLICATEPRINTEDAT	datetime	YES		NULL	
DUPLICATEDPRINTED	tinyint(1)	YES		0	
EDITEDAT	datetime	YES		NULL	
EXPENSETOTAL	double	YES		NULL	
FREEVALUE	double	YES		NULL	
FROMDATE	datetime	YES		NULL	
GRANTTOTAL	double	YES		NULL	
GRNNETTOTAL	double	YES		NULL	
HOSPITALFEE	double	YES		NULL	
INSID	varchar(255)	YES		NULL	
INVOICEDATE	date	YES		NULL	
INVOICENUMBER	varchar(255)	YES		NULL	
IPOPORCC	varchar(255)	YES		NULL	
LOCALNUMBER	varchar(255)	YES		NULL	
MARGIN	double	YES		NULL	
NETTOTAL	double	YES		NULL	
PAID	tinyint(1)	YES		0	
PAIDAMOUNT	double	YES		NULL	
PAIDAT	datetime	YES		NULL	
PAYMENTMETHOD	varchar(255)	YES		NULL	
PERFORMINSTITUTIONFEE	double	YES		NULL	
PRINTED	tinyint(1)	YES		0	
PRINTEDAT	datetime	YES		NULL	
PROFESSIONALFEE	double	YES		NULL	
QTY	double	YES		NULL	
QUTATIONNUMBER	varchar(255)	YES		NULL	
REACTIVATED	tinyint(1)	YES		0	
REFERENCENUMBER	varchar(255)	YES		NULL	
REFUNDAMOUNT	double	YES		NULL	
REFUNDED	tinyint(1)	YES		0	
RETIRECOMMENTS	varchar(255)	YES		NULL	
RETIRED	tinyint(1)	YES		0	
RETIREDAT	datetime	YES		NULL	
SALEVALUE	double	YES		NULL	
SERVICECHARGE	double	YES		NULL	
SESSIONID	varchar(255)	YES		NULL	
SMSED	tinyint(1)	YES		0	
SMSEDAT	datetime	YES		NULL	
STAFFFEE	double	YES		NULL	
STATUS	int	YES		NULL	
SURGERYBILLTYPE	varchar(255)	YES		NULL	
TAX	double	YES		NULL	
TENDEREDAMOUNT	double	YES		NULL	
TODATE	datetime	YES		NULL	
TOTAL	double	YES		NULL	
TOTALCENTERFEE	double	YES		NULL	
TOTALHOSPITALFEE	double	YES		NULL	
TOTALSTAFFFEE	double	YES		NULL	
VAT	double	YES		NULL	
VATPLUSNETTOTAL	double	YES		NULL	
APPROVEUSER_ID	bigint	YES	MUL	NULL	
BACKWARDREFERENCEBILL_ID	bigint	YES	MUL	NULL	
BANK_ID	bigint	YES	MUL	NULL	
BILLPACKEGE_ID	bigint	YES	MUL	NULL	
BILLEDBILL_ID	bigint	YES	MUL	NULL	
CANCELLEDBILL_ID	bigint	YES	MUL	NULL	
CATEGORY_ID	bigint	YES	MUL	NULL	
CHECKEDBY_ID	bigint	YES	MUL	NULL	
COLLECTINGCENTRE_ID	bigint	YES	MUL	NULL	
CREATER_ID	bigint	YES	MUL	NULL	
CREDITCOMPANY_ID	bigint	YES	MUL	NULL	
DEPARTMENT_ID	bigint	YES	MUL	NULL	
DUPLICATEPRINTEDUSER_ID	bigint	YES	MUL	NULL	
EDITOR_ID	bigint	YES	MUL	NULL	
FORWARDREFERENCEBILL_ID	bigint	YES	MUL	NULL	
FROMDEPARTMENT_ID	bigint	YES	MUL	NULL	
FROMINSTITUTION_ID	bigint	YES	MUL	NULL	
FROMSTAFF_ID	bigint	YES	MUL	NULL	
FROMWEBUSER_ID	bigint	YES	MUL	NULL	
INSTITUTION_ID	bigint	YES	MUL	NULL	
ITEM_ID	bigint	YES	MUL	NULL	
MEMBERSHIPSCHEME_ID	bigint	YES	MUL	NULL	
PAIDBILL_ID	bigint	YES	MUL	NULL	
PATIENT_ID	bigint	YES	MUL	NULL	
PATIENTENCOUNTER_ID	bigint	YES	MUL	NULL	
PAYMENTSCHEME_ID	bigint	YES	MUL	NULL	
PAYMENTSCHEMEINSTITUTION_ID	bigint	YES	MUL	NULL	
PERSON_ID	bigint	YES	MUL	NULL	
PRINTEDUSER_ID	bigint	YES	MUL	NULL	
PROCEDURE_ID	bigint	YES	MUL	NULL	
REACTIVATEDBILL_ID	bigint	YES	MUL	NULL	
REFERENCEBILL_ID	bigint	YES	MUL	NULL	
REFERENCEINSTITUTION_ID	bigint	YES	MUL	NULL	
REFERREDBY_ID	bigint	YES	MUL	NULL	
REFERREDBYINSTITUTION_ID	bigint	YES	MUL	NULL	
REFERRINGDEPARTMENT_ID	bigint	YES	MUL	NULL	
REFUNDEDBILL_ID	bigint	YES	MUL	NULL	
RETIRER_ID	bigint	YES	MUL	NULL	
SINGLEBILLITEM_ID	bigint	YES	MUL	NULL	
SINGLEBILLSESSION_ID	bigint	YES	MUL	NULL	
SMSEDUSER_ID	bigint	YES	MUL	NULL	
STAFF_ID	bigint	YES	MUL	NULL	
TODEPARTMENT_ID	bigint	YES	MUL	NULL	
TOINSTITUTION_ID	bigint	YES	MUL	NULL	
TOSTAFF_ID	bigint	YES	MUL	NULL	
TOWEBUSER_ID	bigint	YES	MUL	NULL	
CASHTRANSACTION_ID	bigint	YES	MUL	NULL	
CREDITBILL	tinyint(1)	YES		0	
COMPLETED	tinyint(1)	YES		0	
WEBUSER_ID	bigint	YES		NULL	
COMPLETEDAT	datetime	YES		NULL	
COMPLETEDBY_ID	bigint	YES		NULL	
BANKACCOUNT_ID	bigint	YES		NULL	
COLLCTINGCENTREFEE	double	YES		NULL	
ACCEPTEDAT	timestamp	YES		NULL	
RELEASEDAT	timestamp	YES		NULL	
SETTLEDAMOUNTBYPATIENT	double	YES		NULL	
SETTLEDAMOUNTBYSPONSOR	double	YES		NULL	
PHARMACYBILL_ID	bigint	YES		NULL	
EXTERNALDOCTOR	varchar(255)	YES		NULL	
STOCKBILL_ID	bigint	YES		NULL	
PAYMENTAPPROVALCOMMENTS	text	YES		NULL	
PAYMENTAPPROVED	bit(1)	YES		NULL	
PAYMENTAPPROVEDAT	timestamp	YES		NULL	
PAYMENTCOMPLETED	bit(1)	YES		NULL	
PAYMENTCOMPLETEDAT	timestamp	YES		NULL	
PAYMENTCOMPLETIONCOMMENTS	text	YES		NULL	
PAYMENTGENERATED	bit(1)	YES		NULL	
